year;month;day;hour;stid;x;y;z;yo;
 2014;06;01;1;18269;271371;6653365;123;NA;
 2014;06;01;1;18270;273036;6654680;200;NA;
 2014;06;01;1;18310;263823;6649452;19;NA;
 2014;06;01;1;18390;262542;6652560;74;NA;
 2014;06;01;1;18405;263890;6652251;110;NA;
 2014;06;01;1;18410;265310;6652294;140;NA;
 2014;06;01;1;18420;264918;6652911;130;NA;
 2014;06;01;1;18440;264740;6654508;162;NA;
 2014;06;01;1;18450;265049;6655761;173;NA;
 2014;06;01;1;18500;259962;6664957;360;5.2;
 2014;06;01;1;18645;260776;6649592;25;NA;
 2014;06;01;1;18690;259866;6649316;20;NA;
 2014;06;01;1;18700;260967;6652718;94;12.8;
 2014;06;01;1;18701;260972;6652718;94;NA;
 2014;06;01;1;18703;260936;6652754;96;NA;
 2014;06;01;1;18815;258620;6648705;15;13.5;
 2014;06;01;1;18840;258830;6652008;50;NA;
 2014;06;01;1;18920;260164;6654412;240;NA;
 2014;06;01;1;18950;258447;6657618;514;9.5;
 2014;06;01;1;18980;256024;6650584;39;NA;
 2014;06;01;1;2970;359219;6682246;273;NA;
 2014;06;01;1;5495;336721;6666400;185;NA;
 2014;06;01;1;5590;334039;6676368;148;10;
 2014;06;01;1;5660;339038;6683214;150;8.5;
 2014;06;01;1;12123;289037;6746076;128;NA;
 2014;06;01;1;12180;293433;6746801;182;7.8;
 2014;06;01;1;12290;287708;6746937;132;8;
 2014;06;01;1;12291;288472;6747315;125;NA;
 2014;06;01;1;12320;286299;6748919;221;8;
 2014;06;01;1;12520;280061;6746261;205;NA;
 2014;06;01;1;12550;271629;6744837;128;5.8;
 2014;06;01;1;12580;272099;6760666;230;NA;
 2014;06;01;1;12590;265532;6762512;20;NA;
 2014;06;01;1;12595;266789;6764105;162;NA;
 2014;06;01;1;12600;266067;6765269;161;NA;
 2014;06;01;1;12800;266802;6783171;520;NA;
 2014;06;01;1;6690;305455;6752866;270;NA;
 2014;06;01;1;12050;297562;6726329;160;NA;
 2014;06;01;1;5330;311904;6696171;135;NA;
 2014;06;01;1;5350;310326;6699612;147;NA;
 2014;06;01;1;5680;336984;6696476;170;NA;
 2014;06;01;1;5710;336996;6707405;154;NA;
 2014;06;01;1;6020;336500;6723521;185;7.7;
 2014;06;01;1;6160;336813;6716268;155;NA;
 2014;06;01;1;6440;356353;6731414;276;NA;
 2014;06;01;1;6580;323585;6739571;160;NA;
 2014;06;01;1;6700;309978;6763122;200;NA;
 2014;06;01;1;60;367134;6827504;564;NA;
 2014;06;01;1;90;341871;6779534;575;NA;
 2014;06;01;1;100;365592;6780378;333;NA;
 2014;06;01;1;120;376376;6789213;580;NA;
 2014;06;01;1;180;353846;6798632;360;2.1;
 2014;06;01;1;250;360111;6812248;664;NA;
 2014;06;01;1;6840;304128;6781767;230;NA;
 2014;06;01;1;7420;312963;6809720;872;0.8;
 2014;06;01;1;7940;304089;6784950;260;NA;
 2014;06;01;1;7950;304913;6788900;255;2.6;
 2014;06;01;1;8140;290930;6816467;257;3.1;
 2014;06;01;1;8230;287909;6833310;283;NA;
 2014;06;01;1;8300;277494;6847213;640;3;
 2014;06;01;1;8450;262866;6859109;535;NA;
 2014;06;01;1;8720;244691;6871508;749;NA;
 2014;06;01;1;7660;299289;6846172;260;NA;
 2014;06;01;1;7920;293189;6892539;525;NA;
 2014;06;01;1;8800;284912;6865860;387;NA;
 2014;06;01;1;420;341102;6842724;481;NA;
 2014;06;01;1;610;333728;6860778;690;NA;
 2014;06;01;1;670;341709;6860075;754;NA;
 2014;06;01;1;700;344849;6865141;672;1.7;
 2014;06;01;1;725;350220;6886606;826;NA;
 2014;06;01;1;730;352289;6885846;794;NA;
 2014;06;01;1;770;315502;6901961;713;NA;
 2014;06;01;1;9580;278547;6911509;482;6.1;
 2014;06;01;1;9870;264089;6930902;700;NA;
 2014;06;01;1;66810;251849;6958067;525;NA;
 2014;06;01;1;66850;257321;6949499;549;NA;
 2014;06;01;1;66860;257367;6948165;545;NA;
 2014;06;01;1;66890;271903;6946370;900;NA;
 2014;06;01;1;66900;262594;6935714;695;NA;
 2014;06;01;1;66990;251224;6939196;860;NA;
 2014;06;01;1;8880;271889;6894056;478;8.4;
 2014;06;01;1;9400;271878;6901844;480;NA;
 2014;06;01;1;8770;239464;6881084;731;NA;
 2014;06;01;1;8780;238404;6885415;780;-2.3;
 2014;06;01;1;8970;258021;6908692;746;NA;
 2014;06;01;1;9160;239125;6898544;694;-1.5;
 2014;06;01;1;810;330443;6909388;687;NA;
 2014;06;01;1;10070;302895;6935759;600;NA;
 2014;06;01;1;12666;254452;6783375;130;NA;
 2014;06;01;1;12680;256243;6781518;240;6.2;
 2014;06;01;1;13110;253250;6790354;205;NA;
 2014;06;01;1;11900;261537;6765437;190;NA;
 2014;06;01;1;9303;216008;6912008;1025;NA;
 2014;06;01;1;9310;216453;6910728;1012;0.3;
 2014;06;01;1;9380;207315;6919920;1475;NA;
 2014;06;01;1;16400;197420;6889604;560;NA;
 2014;06;01;1;16560;192773;6896126;638;2.7;
 2014;06;01;1;16610;202117;6899946;973;-0.1;
 2014;06;01;1;16611;202114;6899857;980;NA;
 2014;06;01;1;16620;212593;6906579;930;NA;
 2014;06;01;1;16790;182933;6900846;551;NA;
 2014;06;01;1;16845;171484;6906573;620;NA;
 2014;06;01;1;61630;147324;6921509;579;2.1;
 2014;06;01;1;15480;156873;6877835;374;NA;
 2014;06;01;1;15660;141612;6882059;432;NA;
 2014;06;01;1;15730;127148;6882990;664;NA;
 2014;06;01;1;15890;116537;6897707;872;-2;
 2014;06;01;1;15950;102349;6898710;930;NA;
 2014;06;01;1;15270;149452;6856140;1894;1.5;
 2014;06;01;1;15430;143377;6861613;701;NA;
 2014;06;01;1;15460;138201;6845720;1800;-6.8;
 2014;06;01;1;55290;128529;6845686;1413;-0.2;
 2014;06;01;1;14550;185699;6880065;823;NA;
 2014;06;01;1;14711;184836;6867936;811;NA;
 2014;06;01;1;13640;202518;6832880;630;NA;
 2014;06;01;1;13655;202568;6834700;928;1.8;
 2014;06;01;1;14050;212081;6850107;330;NA;
 2014;06;01;1;14200;191350;6857396;599;-0.7;
 2014;06;01;1;16040;212253;6861563;309;NA;
 2014;06;01;1;16265;206581;6873249;380;NA;
 2014;06;01;1;16271;210059;6874070;940;-0.4;
 2014;06;01;1;13700;208859;6821507;752;NA;
 2014;06;01;1;13140;243765;6823114;187;NA;
 2014;06;01;1;13150;243512;6822943;200;7.3;
 2014;06;01;1;13160;240507;6824262;1030;3.3;
 2014;06;01;1;13310;250172;6823328;770;NA;
 2014;06;01;1;13390;238235;6831700;185;NA;
 2014;06;01;1;13420;241030;6845074;930;1;
 2014;06;01;1;13450;234069;6847059;666;NA;
 2014;06;01;1;13125;247535;6803814;200;NA;
 2014;06;01;1;13030;245538;6797052;375;6.9;
 2014;06;01;1;13060;241348;6802780;575;NA;
 2014;06;01;1;11500;274598;6736485;264;7.7;
 2014;06;01;1;11690;260935;6727575;410;NA;
 2014;06;01;1;11710;261327;6725617;406;NA;
 2014;06;01;1;4543;262609;6676589;235;NA;
 2014;06;01;1;4590;264890;6689676;415;NA;
 2014;06;01;1;20470;252900;6691218;385;NA;
 2014;06;01;1;20520;255525;6692471;372;NA;
 2014;06;01;1;11340;260439;6709993;620;NA;
 2014;06;01;1;20540;255092;6699292;245;6.6;
 2014;06;01;1;21680;231132;6765682;542;2.1;
 2014;06;01;1;22690;220912;6732644;170;NA;
 2014;06;01;1;22730;211439;6732019;474;NA;
 2014;06;01;1;22790;213236;6737020;172;NA;
 2014;06;01;1;22840;200709;6756944;628;NA;
 2014;06;01;1;22990;193380;6770844;425;NA;
 2014;06;01;1;23160;190612;6767145;639;NA;
 2014;06;01;1;23410;191717;6777660;822;3.4;
 2014;06;01;1;23420;187670;6774176;358;6.7;
 2014;06;01;1;13750;174465;6824633;1088;-1.4;
 2014;06;01;1;23500;180431;6790894;521;4.6;
 2014;06;01;1;23550;174233;6805891;965;6.1;
 2014;06;01;1;23560;170565;6805395;754;NA;
 2014;06;01;1;23720;153920;6793633;489;NA;
 2014;06;01;1;54710;130049;6802130;956;-1.7;
 2014;06;01;1;54731;132206;6801936;1010;1.8;
 2014;06;01;1;26594;230114;6631421;25;NA;
 2014;06;01;1;26852;231841;6633073;65;NA;
 2014;06;01;1;26862;231025;6632618;15;NA;
 2014;06;01;1;26864;230122;6633309;25;NA;
 2014;06;01;1;26872;228770;6633721;25;NA;
 2014;06;01;1;26898;226970;6634020;15;NA;
 2014;06;01;1;26900;226155;6634058;8;9.2;
 2014;06;01;1;26932;231116;6630052;100;NA;
 2014;06;01;1;26934;233957;6628742;5;NA;
 2014;06;01;1;27010;227074;6629441;193;6.8;
 2014;06;01;1;27015;227119;6630131;230;NA;
 2014;06;01;1;28380;197738;6621832;170;8.7;
 2014;06;01;1;28450;187302;6621182;390;NA;
 2014;06;01;1;20250;238571;6672842;66;NA;
 2014;06;01;1;20280;237229;6676458;126;11.1;
 2014;06;01;1;20301;236419;6679445;140;10.9;
 2014;06;01;1;20361;240243;6683495;190;NA;
 2014;06;01;1;24210;219219;6688754;140;NA;
 2014;06;01;1;24230;214362;6687364;210;NA;
 2014;06;01;1;24350;224449;6667505;135;NA;
 2014;06;01;1;19663;240132;6656551;340;NA;
 2014;06;01;1;24710;202790;6706244;142;8.1;
 2014;06;01;1;26450;179586;6706399;890;NA;
 2014;06;01;1;24890;178700;6728926;166;8.3;
 2014;06;01;1;23300;180071;6756436;830;NA;
 2014;06;01;1;24960;170084;6746765;542;NA;
 2014;06;01;1;25100;148951;6765686;648;NA;
 2014;06;01;1;25110;152274;6763621;604;3.5;
 2014;06;01;1;25112;148358;6765767;807;5.5;
 2014;06;01;1;25165;130005;6779438;1130;NA;
 2014;06;01;1;25260;133222;6745768;863;NA;
 2014;06;01;1;25320;148177;6739847;720;NA;
 2014;06;01;1;25540;118682;6747270;969;NA;
 2014;06;01;1;25541;118302;6747524;1020;2.4;
 2014;06;01;1;25580;134476;6734874;670;NA;
 2014;06;01;1;25630;126964;6729759;772;2.9;
 2014;06;01;1;25640;124444;6730246;841;NA;
 2014;06;01;1;29720;143875;6715578;798;-0.6;
 2014;06;01;1;26350;191325;6679530;143;5.5;
 2014;06;01;1;26380;187156;6692397;293;NA;
 2014;06;01;1;24600;200038;6678950;367;NA;
 2014;06;01;1;24670;206565;6693129;150;NA;
 2014;06;01;1;19930;223328;6647088;375;NA;
